sname,District_Name,Crop_Year,cseason,Crop,Area,production
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Black pepper,22.16,0.68
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Cashewnut,450.0,85.13
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Coconut ,14358.0,59370000.0
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Dry chillies,3.0,9.0
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Dry ginger,6.0,21.0
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Sugarcane,0.2,0.5
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Sweet potato,18.0,86.0
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Tapioca,52.03,450.0
Andaman and Nicobar Islands,NICOBARS,2006.0,Whole Year ,Turmeric,2.5,1.03
Andaman and Nicobar Islands,NICOBARS,2010.0,Autumn     ,Rice,3.5,10.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Autumn     ,Sugarcane,13.4,41.75
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Arecanut,944.0,6543635.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Black pepper,23.0,8.5
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Cashewnut,1000.5,437000000000.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Dry chillies,12.0,25.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Dry ginger,7.0,9.64
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Maize,3.84,18.22
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Moong(Green Gram),1.5,1.1
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Sweet potato,22.0,208.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Turmeric,32432.0,435634633.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Rabi       ,Urad,1.5,1.16
Andaman and Nicobar Islands,NICOBARS,2010.0,Whole Year ,Banana,593.0,3425.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Whole Year ,Coconut ,14560.0,71300000.0
Andaman and Nicobar Islands,NICOBARS,2010.0,Whole Year ,Tapioca,69.0,575.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Kharif     ,Arecanut,3100.0,5200.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Kharif     ,Other Kharif pulses,668.0,448.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Kharif     ,Rice,10779.0,34634264326.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Banana,1531.0,12073.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Cashewnut,80.0,54.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Coconut ,6992.0,23900000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Dry ginger,352.0,1120.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,other oilseeds,133.0,55.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Sugarcane,141.0,3736.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Sweet potato,78.0,843.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000.0,Whole Year ,Tapioca,160.0,2108.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Kharif     ,Arecanut,3100.0,634634634.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Kharif     ,Other Kharif pulses,418.0,199.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Kharif     ,Rice,9718.0,4573473434.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Cashewnut,81.0,33.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Coconut ,7015.0,25250000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Dry ginger,344.0,1124.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Sugarcane,81.0,2379.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001.0,Whole Year ,Sweet potato,100.0,5.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Kharif     ,Rice,6854.3,7457647657.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Arecanut,1160.0,3011.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Banana,957.57,8582.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Black pepper,175.0,191.14
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Cashewnut,40.5,44.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Coconut ,3575.0,15400000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Dry chillies,235.72,824.3
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Dry ginger,98.66,929.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,other oilseeds,35.62,21.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Sugarcane,71.3,1500.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Sweet potato,30.0,240.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Tapioca,255.0,1420.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006.0,Whole Year ,Turmeric,68.0,408.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Autumn     ,Rice,6791.0,20118.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Autumn     ,Sugarcane,73.33,889.2
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Arecanut,1296.0,6546363434.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Arhar/Tur,294.5,90.8
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Black pepper,168.0,24333.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Cashewnut,84.5,433.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Dry chillies,254.0,402.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Dry ginger,110.0,1011.84
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Groundnut,4.75,253.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Maize,86.7,96.4
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Moong(Green Gram),1168.6,547457564.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Sunflower,2.9,543.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Sweet potato,109.0,480.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Turmeric,68.0,376.5
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Rabi       ,Urad,1059.5,456536453.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Whole Year ,Banana,657.0,7968.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Whole Year ,Coconut ,3668.0,12700000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010.0,Whole Year ,Tapioca,186.5,1355.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Kharif     ,Rice,10695.8,31600.82
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Arecanut,3105.0,5476575465.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Banana,1524.0,10882.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Black pepper,487.0,102.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Cashewnut,81.0,24.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Coconut ,7060.0,26830000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Dry chillies,239.0,20.9
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Dry ginger,352.0,1145.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,other oilseeds,85.1,40.31
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002.0,Whole Year ,Sugarcane,455.0,13760.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Kharif     ,Rice,10509.37,30760.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Arecanut,3118.0,5182.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Banana,1530.0,11558.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Black pepper,497.0,104.37
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Cashewnut,116.5,26.14
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Coconut ,7110.0,26660000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Dry chillies,340.0,578.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Dry ginger,406.0,1299.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,other oilseeds,82.09,35.51
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003.0,Whole Year ,Sugarcane,268.0,2879.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Kharif     ,Rice,10681.98,29119.66
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Arecanut,3160.67,3975.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Banana,1912.1,17374.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Black pepper,570.0,104.36
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Cashewnut,116.5,25.1
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Coconut ,7156.7,34750000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Dry chillies,340.0,822.8
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Dry ginger,410.0,1462.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,other oilseeds,89.3,46.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004.0,Whole Year ,Sugarcane,145.26,1560.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Kharif     ,Rice,8683.38,25870.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Arecanut,3250.78,3058.46
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Banana,1656.8,10251.13
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Black pepper,656.45,35.95
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Cashewnut,118.5,30.22
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Coconut ,7050.45,26430000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Dry chillies,370.7,877.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Dry ginger,200.0,1800.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,other oilseeds,53.55,34.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Sugarcane,128.02,2448.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Sweet potato,131.9,700.35
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Tapioca,254.5,1480.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005.0,Whole Year ,Turmeric,81.7,572.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Kharif     ,Rice,921.87,2539.64
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Arecanut,2000.0,2350.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Banana,483.0,4150.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Black pepper,413.1,20.18
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Cashewnut,79.5,26.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Coconut ,3483.09,14190000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Dry chillies,124.6,34.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Dry ginger,100.9,900.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,other oilseeds,24.0,14.98
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Sugarcane,53.5,999.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Sweet potato,30.4,220.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Tapioca,40.0,160.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006.0,Whole Year ,Turmeric,10.0,60.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Autumn     ,Rice,1595.5,3788.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Autumn     ,Sugarcane,67.5,402.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Arecanut,1912.0,1900.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Arhar/Tur,20.5,13.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Black pepper,409.0,98.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Cashewnut,15.0,10.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Dry chillies,128.0,148.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Dry ginger,94.0,828.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Groundnut,15.5,7.6
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Maize,73.0,253.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Moong(Green Gram),29.9,17.85
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Sunflower,1.0,0.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Sweet potato,32.0,235.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Turmeric,10.0,105.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Rabi       ,Urad,34.0,15.05
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Whole Year ,Banana,360.0,5517.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Whole Year ,Coconut ,3540.0,11000000.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010.0,Whole Year ,Tapioca,22.5,220.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Arhar/Tur,21400.0,2600.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Bajra,1400.0,500.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Castor seed,1000.0,100.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Cotton(lint),7300.0,9400.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Dry chillies,3700.0,7100.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Groundnut,650800.0,228400.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Horse-gram,3300.0,1000.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Jowar,10100.0,10200.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Korra,2200.0,700.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Maize,2800.0,4900.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Moong(Green Gram),1300.0,500.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Other Kharif pulses,800.0,100.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Ragi,6700.0,11800.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Rice,35600.0,75400.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Sugarcane,700.0,72900.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Sunflower,35900.0,11100.0
Andhra Pradesh,ANANTAPUR,1997.0,Kharif     ,Tobacco,200.0,200.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Dry chillies,100.0,100.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Gram,28000.0,14800.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Groundnut,20200.0,21700.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Horse-gram,600.0,200.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Jowar,18800.0,9400.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Korra,100.0,100.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Maize,600.0,2400.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Ragi,600.0,1000.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Rice,18000.0,37300.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Sunflower,30100.0,11100.0
Andhra Pradesh,ANANTAPUR,1997.0,Rabi       ,Wheat,300.0,343543.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Arhar/Tur,27400.0,9100.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Bajra,2600.0,1900.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Castor seed,3200.0,1000.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Cotton(lint),14000.0,12900.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Dry chillies,4000.0,10000.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Groundnut,755200.0,867800.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Horse-gram,2300.0,900.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Jowar,3700.0,5800.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Korra,4600.0,3400.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Maize,3300.0,6700.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Moong(Green Gram),2100.0,1300.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Other Kharif pulses,2000.0,34343.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Ragi,7000.0,14900.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Rice,38300.0,96800.0
Andhra Pradesh,ANANTAPUR,1998.0,Kharif     ,Sunflower,21300.0,12200.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Dry chillies,200.0,200.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Gram,26200.0,25900.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Groundnut,25900.0,35800.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Horse-gram,700.0,3434545.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Jowar,14800.0,22100.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Maize,300.0,1600.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Ragi,700.0,1200.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Rice,26600.0,63900.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Sunflower,13500.0,3300.0
Andhra Pradesh,ANANTAPUR,1998.0,Rabi       ,Wheat,400.0,200.0
Andhra Pradesh,ANANTAPUR,1998.0,Whole Year ,Sugarcane,700.0,65900.0
Andhra Pradesh,ANANTAPUR,1998.0,Whole Year ,Tobacco,100.0,100.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Bajra,1635.0,889.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Castor seed,1880.0,4343433.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Cotton(lint),9453.0,10510.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Groundnut,694865.0,249457.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Horse-gram,1762.0,495.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Jowar,11131.0,14582.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Maize,3358.0,9540.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Masoor,23117.0,3861.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Moong(Green Gram),1546.0,1098.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Ragi,6215.0,11467.0
Andhra Pradesh,ANANTAPUR,1999.0,Kharif     ,Rice,37991.0,105082.0
